2001,Piriyadha Varam Vendum,Tamil,Kamal,"Prashanth, Shalini, Jomol",unknown,https://en.wikipedia.org/wiki/Piriyadha_Varam_Vendum,"Sanjay (Prashanth) and Nithi (Shalini) are best friends right from their childhood days. They are neighbours, have grown up together, attend the same college and spend every minute of their waking hours together. Both have their admirers in college with Sneha (Jomol) wooing Sanjay and Praveen (Krishna) revealing his love for Nithi. Nithi's week-long trip to Bangalore, along with some prodding by his housemaid, makes Sanjay realise how much he misses Nithi and that he is in love with her. But respect for their friendship and her makes him hide his feelings. Meanwhile, Nithi accepts Praveen's proposal and things quickly move towards their marriage. But when things come together Nithi realises that she cannot stay without Sanjay and at that time he reveals that he too loves her."
2004,New Police Story,Hong Kong,Benny Chan,Jackie Chan,"crime, action",https://en.wikipedia.org/wiki/New_Police_Story,"In the present day, a group of rebellious youths rob a bank with the intention of shooting police officers before making their escape. Inspector Chan Kwok-wing and his squad are called to arrest the gang after their hideout is revealed. However, the hideout is rigged with traps, and the entire squad is decimated. Being the sole survivor of the incident, a guilt-ridden Chan takes a year long leave from the police force to binge-drink. Chan is discovered by a stranger (Nicholas Tse) and taken to the stranger's home. The stranger identifies himself to Chan as PC 138, Frank Cheng, his new partner. Frank tries various means to convince Chan to cancel his leave and take up the case but Chan refuses. However, Chan comes to his senses eventually by apprehending the same two youths that robbed him in an earlier scene while Chan was drunk. At the police station, Frank tells Chan that he is Kwong's younger brother, which convinces Chan to relook into the case. Chan's superior Chiu Chan (Yu RongGuang), initially believing that Chan's overconfidence alone was responsible for the disastrous raid, challenges them to solve the case before he does. Frank and Chan convince former colleague Sam Wong to reveal a clue from the night of the first robbery, a watch which he snatched from one of the robbers during a confrontation in. He tells them that one of the gang members is a woman and that they like to play X-Games. This is confirmed by fellow police officer Sa Sa (Charlene Choi). Chan and Frank are tailed by Chiu and the police as they search the owner of the watch at an upcoming X-Games event; Sam had been arrested by the police to assist in the investigation. At the event, held on the rooftop of a skyscraper, Frank and Chan manage to locate one of the gang members, Fire (Terence Yin), while Sam and the police interrupt the event and single out the woman robber, Sue (Coco Chiang). Before they can apprehend her, however, Fire instigates a gunfight by killing Sam in order to escape. Sam confesses to Chan that he was blackmailed by the gang to aid them in ambushing Chan's team due to the bag of money he took from Sue to pay off his debts. Chiu, upon overhearing this, has a change of heart. To distract Chan's pursuit, Fire shoots at a bus driver, forcing Chan and Frank to save the bus. After the incident, they are informed by Officer Sa Sa that the gang members all come from rich families and the leader Joe (Daniel Wu) is actually the son of the police chief. Sue and Fire return to the gang's new hideout. Seeing Sue's gunshot injury, Joe fatally shoots her. Joe's gang accesses Chan's police file on a computer, and plant a bomb on Chan's girlfriend, Ho Yee, in the police station. He wraps a time bomb around her neck before leaving. When Chan learns of the bomb he desperately tries to free her. Ho Yee cuts the wires, with no effect, leading the police to believe that it is a fake. But when the two get ready to leave, a small wire attached to Ho Yee's back pulls out the secondary trigger, causing the bomb to explode. Before she can escape, it explodes and some falling pipes land on her, knocking her into a coma. Learning of Frank's false identity, Chan and Frank are arrested by the police force temporarily, long before the pair are unofficially released to apprehend the gang. Chan, Frank and Sa Sa learn that the gang's next target is the Bank of Hong Kong. In order to avoid another botched raid, Chan has the officers escort the public out of the building, and brings the gang members' parents to cause dissent within Joe's gang, prompting Joe to kill gang member Max for surrendering. Afterwards, Chan and Frank run up to engage the remaining gang members. Frank manages to disable Fire. Chan chases Tin Tin. Chan asks him to have a rematch. The two engage in hand-to-hand combat, with Chan defeating Tin Tin. Joe then chases Frank into the hall and shoots at him. In the crossfire, Tin Tin is shot in the chest. Joe chases Frank out of the room moments before the Special Duties Unit arrives. Tin Tin grabs a gun from the floor and points it at Chan's back. Chan, oblivious to what's happening behind him, calls out to the squad to bring in a medic for Tin Tin, prompting Tin Tin to spare Chan. Chan finds Joe on the roof. Having captured and tied up Frank, Joe threatens to throw him to his death. Joe challenges Chan to a race to assemble a semi automatic pistol, a rematch of an earlier challenge. This time, Chan chambers the bullet first and wins the game, much to Joe's disbelief. A number of policemen arrive on the roof, along with Joe's father. Joe's father reprimands him, while Chan tells Joe that he knows that he doesn't hate cops, he merely hates his father for berating him. Due to what Chan and his father have said, Joe finally admits defeat and deliberately unloads the single bullet in his gun and aims the empty gun at Chan, choosing suicide-by-cop. Chan rushes to rescue Frank and both of them fall off the building, landing on a fireman's inflated cushion. In the hospital, Ho Yee has recovered and prepares to leave before accepting Chan's marriage proposal. Meanwhile, Frank is led away by Officer Sa Sa. When Chan looks at the jacket Frank left behind, he remembers meeting an orphaned Frank."
2010,332 Mumbai To India,Bollywood,Mahesh Pandey,"Ali Asgar, Chetan Pandit",thriller,https://en.wikipedia.org/wiki/332_Mumbai_To_India,The film is about a mislead youth who commits a stupid crime just to prove a point. But there are repercussions on the general public and people connected to him. How will the Government tackle this issue and what can they do to keep it from happening again.[4]
1944,Nabonga,American,Sam Newfield,"Buster Crabbe, Julie London",sci-fi,https://en.wikipedia.org/wiki/Nabonga,"T. F. Stockwell (Herbert Rawlinson) steals the money and jewelry contents of safe deposit boxes of the Cairo bank in which he works. After fleeing south in a private plane with his young daughter Doreen (Jackie Newfield, daughter of the director) and the pilot, they're brought down in the jungle during a storm. The three survive the crash but Stockwell murders the pilot when he sees the stolen loot. Whilst exploring the surroundings, Doreen finds a gorilla (Ray Corrigan) wounded and left for dead by members of a safari. Years pass when Ray Gorman (Buster Crabbe) comes to the area on the fringes of the jungle where the plane crashed. Bar owner Carl Hurst (Barton MacLane) and his female associate Marie (Fifi D'Orsay) spy on Gorman to see what he's up to. Gorman's father was head of the bank that Stockwell worked for and robbed; when Gorman's father was blamed for the theft he committed suicide. Gorman is out to recover the loot from the plane crash to clear his father's name. When Gorman saves Hurst's servant Tobo (Prince Modupe) from being murdered by another African (Fred Toones), Tobo confides in Gorman that there is a white witch in the jungle who legend has it came from the sky. Gorman realises that this could be a reference to Stockwell's plane crash and disappearance. Tobo offers to lead Gorman to the area whilst Hurst and Marie secretly follow. The ""white witch"" is the grown up Doreen (Julie London) living with her gorilla named Samson who protects her; her father having long ago disappeared in the jungle."
1940,Lillian Russell,American,Irving Cummings,"Alice Faye, Don Ameche, Henry Fonda",biographical,https://en.wikipedia.org/wiki/Lillian_Russell_(film),"Helen Leonard (Faye) has a beautiful voice. As she grows up, she trains to become an opera singer. Her instructor, however, informs her that her voice is pleasing, but not suitable for grand opera. Returning home one day, she and her grandmother (Westley) are saved by a handsome young man, newspaperman Alexander Moore (Fonda). Meanwhile, Helen's mother, Cynthia (Peterson), has political aspirations, but only receives a handful of votes for mayor. While singing one evening, Helen is overheard by vaudeville impresario Tony Pastor (Carrillo), who hires her to sing at his theater. She is given a new name, Lillian Russell, and quickly rises to fame as the toast of New York. As the years pass, Lillian becomes one of the most revered stars in America. She has many suitors, including financier Diamond Jim Brady (Arnold), Jesse Lewisohn (William), and composer Edward Solomon (Ameche). She eventually marries Edward and they move to London, where Gilbert and Sullivan are writing an operetta especially for her. Alexander Moore returns and makes a contract with Lillian to write stories about her rise to fame. But tragedy soon strikes when Edward dies one evening while composing a song for her. Lillian cancels the interviews and makes an appearance in the show, singing the song her husband composed for her, ""Blue Lovebird."" Lillian returns to America and is, by this time, the greatest stage attraction of the century. Alexander comes to see Lillian after a new show and the two are happily reunited."
2009,Zor Lagaa Ke...Haiya!,Bollywood,Girish Girija Joshi,"Mithun Chakraborty, Mahesh Manjrekar, Sachin Khedekar, Raj Zutshi, Ashwin Chitale, Gulshan Grover",unknown,https://en.wikipedia.org/wiki/Zor_Lagaa_Ke...Haiya!,A group of children with the help of a beggar try to save some trees from a construction company's intent on cutting them down to make way for new buildings.
1935,Frisco Kid,American,Lloyd Bacon,"James Cagney, Ricardo Cortez, Margaret Lindsay","drama, adventure",https://en.wikipedia.org/wiki/Frisco_Kid,"In San Francisco in the 1850s, a city where gold fever has left shipowners short-handed, Bat Morgan, a sailor come ashore is robbed and nearly shanghaied aboard another ship. Managing to escape, he sticks around town to pay back those responsible and then to take a cut in the action in the vice district. Organizing the various gambling houses (and other forms of vice implied but, for Code reasons, not explicitly stated) into a consolidated enterprise in alliance with a corrupt city boss, Jim Dailey, he comes into conflict with a crusading newspaper, run by Jean Barrat, the daughter of the late murdered publisher, and Charles Ford, the idealistic editor. Loyal to his friends, even when they are on the other side, Bat Morgan protects the editor, when Jim Dailey orders him eliminated. He also falls in love with Jean, but his way of life and lack of any morality beyond looking out for number one make a permanent relationship all but impossible. Riled at a judge's snub, he determines to bring his Barbary Coast crowd to the opening night at the Opera House, which the Judge has opened as an alternative place of amusement to the gambling dens. A gambler, Paul Morra, shoulders his way into the judge's box and on a flimsy excuse, murders him. The outrage provokes a public outcry, and when Morra is arrested and jailed and a lynch mob gathers, crying for his blood, Bat arranges his release, not so much because he likes him as because he owes him a debt of gratitude for having started him on the upward rise. Soon after, Ford is murdered by Jim Dailey in a bar-room fight. Jean blames Bat, holding him responsible for all the evil done by those who work with him. A vigilance movement sets out to clean up the town, rounding up Morra and Dailey, and hanging them both. When the lowlife of the Barbary Coast determine to pay it back by wrecking the press and burning the city, Bat Morgan convinces them to do otherwise. Trying to keep them from fighting back as the vigilantes come to destroy the Coast, he is shot in the back by one of the underworld forces and captured by the vigilantes. Jean Barrat saves him from hanging, and he is permitted to go free, on her parole."
1943,The Chance of a Lifetime,American,William Castle,"Chester Morris, Erik Rolf, Jeanne Bates",crime drama,https://en.wikipedia.org/wiki/The_Chance_of_a_Lifetime_(1943_film),"Boston Blackie (Chester Morris) helps get prisoners with needed skills released on parole to help in the machine and tool plant of his friend, Arthur Manleder (Lloyd Corrigan). Those chosen want to support America's war effort. All of the parolees have to stay in Blackie's apartment, all except robber Dooley Watson. Blackie allows him to see his wife and son. Watson goes after the payroll money he stole before he was captured. His wife Mary (Jeanne Bates) convinces him to give it back, but his partners in crime, ""Red"" Taggart (John Harmon) and ""Nails"" Blanton (Douglas Fowley), have been waiting patiently for their share. When they threaten Dooley's family, Dooley fights back. Red is killed in the ensuing struggle. Nails runs off. If Boston Blackie is to save his project, he has to capture Nails and force him to confess the death was in self-defense, all while dodging Inspector Farraday (Richard Lane)."
1991,Namma Ooru Mariamma,Tamil,K. Rajan,"Nizhalgal Ravi, Vaidehi, R. Sarathkumar",unknown,https://en.wikipedia.org/wiki/Namma_Ooru_Mariamma,"Mariamma is married since several years but she doesn't have any children, she is afraid that their dynasty will disappear. To avoid this, Mariamma, her husband and her younger brother Muthu prepare a grand festival in their village with the financial help of the village rich man Rajadurai (R. Sarathkumar). In the meantime, Kaveri (Vaidehi) and Muthu (Nizhalgal Ravi) fall in love with each other but Rajadurai has an eye on Kaveri. Being the owner of the village temples, Rajadurai has the temples' keys and benefit illegally the donations. After the festival, Rajadurai betrays the villagers lying that temples incurred him heavy losses. So Muthu's family with the support of the villagers complains against Rajadurai. They obtain a favourable decision from the court. Thereafter to take revenge, Muthu's brother-in-law is killed by Rajadurai's henchman. Muthu and Kaveri ultimately get married. Few months later, Kaveri becomes pregnant. Rajadurai desires for revenge and want to destroy Muthu's dynasty. What transpires later forms the crux of the story."
1995,Karnaa,Tamil,Selva,"Arjun, Ranjitha, Vineetha",unknown,https://en.wikipedia.org/wiki/Karnaa,"Vijay (Arjun Sarja), a carefree and frolicsome youth, is sent by his father Deenadayalan (Ravichandran) in Ooty to work and becoming a responsible businessman. There, he falls in love with the college student Anjali (Vineetha). Her brothers (Mohan Raj and Vimalraj) are dangerous criminals and they are against their love because Vijay's father is a police officer. Thereafter, Devaraj is sent to jail so his brother appoints the lawyer Karnaa (Arjun Sarja) who is disabled and a sensitive person. Later, Karnaa falls in love with the school teacher Amudha (Ranjitha), after few quarrels between both. One day, Deenadayalan saw Karnaa at the court who looks like his son Vijay. In the past, he had twin boys, but abandoned one of the twin baby because he was disabled. Karnaa is upset when he knew the truth and is now determined to win the case in front of his father. He finally wins the case and Devaraj is released immediately. Thereafter, Deenadayalan said the truth to his wife Lakshmi who wants to bring back at all costs Karnaa at home. Meanwhile, Vijay is arrested by the police because of Devaraj's conspiracy. Karnaa rejects his parents' request and finds outrageous to abandon a baby due to his handicap. Then, Karnaa promises to help Vijay, but he advises Vijay to escape from the jail. In the meantime, Devaraj shows his secret illegal business to Karnaa and Vijay takes some photos of his factory. Afterwards Devaraj's goons kidnap their parents, Karnaa's adopted mother and Amudha. Vijay and Karnaa finally save them and send Devaraj to jail."
2011,Late Autumn,South_Korean,Unknown,,romance,https://en.wikipedia.org/wiki/Late_Autumn_(2010_film),"Washington state, US, the present day.[8] Anna (Tang Wei), an immigrant from China, has been in prison for seven years for the manslaughter of her husband (John Woo), who was jealous over her re-meeting her former boyfriend Wang Jing (Jun-seong Kim). Hearing that her mother has died and her brother John has arranged her bail, Anna is given 72 hours parole to visit her family in Seattle. On the coach she meets a young Korean man, Hoon (Hyun Bin), who borrows US$30 towards a ticket, and he gives her his watch as security, promising to pay her back later. Unknown to Anna, Hoon is a gigolo on the run from powerful businessman Steve (James C. Burns), who wants to kill him for having an affair with his Korean wife, Ok-ja (Jeong So-ra). Hoon meets Anna again in Seattle, and the pair spend time together. The next day he turns up at her mother's funeral, and gets into a fight with Wang at a restaurant afterwards. Anna tells him she has to return to prison on time, but Hoon doesn't give up so easily.[9]"
1988,Gorillas in the Mist: The Story of Dian Fossey,American,Michael Apted,"Sigourney Weaver, Bryan Brown",biography,https://en.wikipedia.org/wiki/Gorillas_in_the_Mist:_The_Story_of_Dian_Fossey,"Occupational therapist Dian Fossey (Sigourney Weaver) is inspired by the anthropologist Louis Leakey (Iain Cuthbertson) to devote her life to the study of primates. To this end, she writes ceaselessly to him for a job cataloguing and studying the rare mountain gorillas of Africa. With some effort, she manages to convince Leakey of her conviction and devotion to the cause at hand after personally approaching him following a lecture in Louisville, Kentucky, on his part in 1966. Thereafter, Fossey embarks into the Congo, where Leakey and his foundation equip her with the necessary equipment and housing to achieve personal contact with the gorillas, and introduce her to a local animal tracker, Sembagare (John Omirah Miluwi), to assist her in her endeavors. Settling deep in the jungle, Fossey and Sembagare manage to locate a troop of gorillas, but they are ultimately displaced by the events of the Congo Crisis after being forcibly evicted from their research site by Congolese soldiers, who accuse Fossey of being a foreign spy and agitator. Initially, Fossey sees no other option but to leave the continent and return to the United States. However, after Sembagare and her temporary host Rosamond Carr (Julie Harris) motivate her to stay, she decides to base her research efforts in the jungles of neighboring Rwanda, which Dian presumes will be safe from outside incursions. However, what Fossey fails to foresee are the rampant problems of poaching and corruption taking place therein, which become apparent when she discovers several traps in the vicinity of her new base at Karisoke. Nevertheless, Fossey and her colleagues make several key headways with the gorillas, taking account of the gorilla's communication and social groups. In so doing, her work impresses Leakey and gains broader international attention. National Geographic, which funds her efforts, takes an increasingly marked interest in her work and dispatches photographer Bob Campbell (Bryan Brown) to highlight her research. Fossey, initially unreceptive towards the outsider Campbell, grows increasingly attached to him after several photo sessions with the gorillas, and the two eventually become lovers, in spite of Campbell's marriage. Campbell proposes to divorce his wife and marry her but insists that she would have to spend time away from Karisoke and her gorillas, leading her to call off the tryst and ending their relationship. During this time, Fossey also becomes close to a gorilla named Digit, forming an emotional bond with him, and attempts to prevent the export of other gorillas by the trader Van Vecten (Constantin Alexandrov). Increasingly appalled by the poaching of the gorillas for their skins, hands and heads, Fossey complains to the Rwandan government, which dismisses her by claiming that poaching is the only means by which some of the Rwandan natives can themselves survive. However, a government minister (Waigwa Wachira) promises to equip her with a three-man anti-poaching squad and pay for their salaries. Ultimately, Fossey's frustration reaches a climax when Digit is killed and beheaded by poachers, leading her to ever-more extreme actions to save the gorillas from illegal poaching and likely extinction. To this end, she forms and leads numerous anti-poaching patrols, burning down the poachers' villages and even staging a mock execution of one of the offenders, serving to alienate some of her research assistants and gaining her various enemies. Sembagare expresses concern at her open opposition to the emergent industry of gorilla tourism, but Fossey nonchalantly dismisses his worries by stating that she already has an extended travel visa and increasing financial support for her research. However, on December 27, 1985, Dian Fossey is brutally murdered in the bedroom of her cabin by an unseen assailant. Thereafter, at a funeral attended by Sembagare, Carr and others, she is buried in the same cemetery where Digit and other gorillas had been laid to rest. Afterwards, Sembagare symbolically links the graves of Fossey and Digit with stones as a sign that their souls rest in peace together before leaving. A pre-credits sequence indicates her actions to help save the gorillas paid off greatly and the species was saved from extinction as a result. According to the ending, Dian Fossey's death remains a mystery."
2009,Currency,Malayalam,Swathy Bhaskar,"Jayasurya, Mukesh, Meera Nandan, Kalabhavan Mani, Suraj Venjaramood, Anoop Menon",thriller,https://en.wikipedia.org/wiki/Currency_(2009_film),"Keshu (Jayasurya) is a school drop-out. An introvert, he is working in a Photocopy store, owned by Indrapalan (Suraj Venjaramood). Keshu is crazy about Rose (Meera Nandan), a sales girl in the nearby boutique. Keshu often takes Photocopies of currency notes which looks like real, but he fears to spend them. One day he meets Daany D'souza (Mukesh), an Anglo Indian, who realizes the competence of Keshu in creating fake currencies. Danny forces him to continue with his act. Danny gets the information that a popular party in Kerala is bringing 10 crores of rupees to Kerala from Bangalore by road. Danny makes a scene with the help of some rowdies and cleverly replaces the 10 crore real notes with fake ones. They hides the real notes in a slum under the supervision of Iruttu (Kalabhavan Mani). When the political party starts spending the money, police gets the information and an Intelligence Bureau officer played by Anoop Menon starts investigating. In the mean time, Keshu's mom gets admitted in the hospital and Keshu immediately wants 25,000 to pay in the hospital. They goes to Iruttu to take the money. There a fight erupts between Danny and Keshu. Iruttu, taking advantage of the situation, goes greedy and tries to take all the money by killing them. But Keshu hits Iruttu in the head and they escapes with the money. Iruttu takes Rose as hostage and asks Keshu to return the money. Keshu pays the money and Iruttu escapes with it. But he was soon captured by the police and thus Danny and Keshu escapes the charges. They also get to know that they won the first prize of a lottery and they don't have to do any fraud activities to live from now."
1972,Hammersmith Is Out,American,Peter Ustinov,"Richard Burton, Elizabeth Taylor, Peter Ustinov",comedy,https://en.wikipedia.org/wiki/Hammersmith_Is_Out,"Billy Breedlove (Beau Bridges) is an orderly at a Texas psychiatric hospital. He simultaneously falls under the spell of two people: a blonde waitress at a local diner named Jimmie Jean Jackson (Elizabeth Taylor) and an allegedly sociopathic hospital patient named Hammersmith (Richard Burton), who is restrained in a straitjacket within a locked cell. Hammersmith promises Billy a new life with fame and fortune if he is released from his incarceration. Billy agrees to free Hammersmith, provided that Jimmie Jean can accompany their escape. The three make their way into adventures where Hammersmith murders people and steals property as the means for elevating Billy’s social and financial status. Billy becomes the owner of a topless bar, the owner of a pharmaceutical company, an oil tycoon, the financier of political campaigns and a roving ambassador-at-large for the United States. Over time, Billy comes to loathe Jimmie Jean. However, Hammersmith takes an interest in her and grants her wish that she should become a mother. Hammersmith arranges for Billy to become disabled in a water skiing accident, and then convinces him to commit suicide. The head of the psychiatric hospital (Peter Ustinov) locates Hammersmith and has him returned to his incarceration – where he begins to promise fame and fortune to another orderly.[1]"
1934,Sorrell and Son,British,Jack Raymond,"H. B. Warner, Margot Grahame",drama,https://en.wikipedia.org/wiki/Sorrell_and_Son_(1934_film),"When Captain Sorrell returns home from the war, his wife Dora leaves him for another man. Despite considerable hardship, the captain devotes his life to bringing up his young son Kit, who becomes the object of his devotion. Eventually, the boy grows up to have a successful career as a doctor, and the captain lives long enough to see him happily married."
1998,Smoke Signals,American,Chris Eyre,"Adam Beach, Irene Bedard, Gary Farmer",comedy,https://en.wikipedia.org/wiki/Smoke_Signals_(film),"Victor Joseph (Adam Beach) and Thomas Builds-the-Fire (Evan Adams) live on the Coeur D'Alene Indian Reservation in Plummer, Idaho. Thomas is an eccentric storyteller and Victor is an angry young man who enjoys playing basketball. Victor and Thomas are brought together through Victor's father, Arnold (Gary Farmer). Arnold rescued Thomas as an infant from a house fire that killed his parents. Because of this, Thomas considers him a hero. On the other hand, Victor, who endures Arnold's alcoholism, domestic violence, and eventual child abandonment, regards his father with both deep love and bitter resentment. Thomas and Victor grow up together as neighbors and acquaintances, fighting with each other and simultaneously forming a close, albeit uneasy, alliance. When Arnold dies in Phoenix, Arizona, where he has stayed after leaving Victor and his mother Arlene (Tantoo Cardinal), Victor and Thomas go on an adventure to retrieve his ashes. The trip is the means for Victor and Thomas to explore their identities. Neither of them loses sight of his identity as an ""Indian,"" but their perspectives differ. Victor is more stoic and Thomas is more traditional (and romantic to the point of watching the feature film Dances with Wolves countless times). Their dichotomy is portrayed all through the film; it results in Victor being irritated with Thomas, and Thomas being fascinated with Victor. Once they reach Phoenix, Victor has to confront his conflicted feelings about his father, as well as his own identity. He has to grapple with a new account of Thomas's parents' death, as told by his father's friend, Suzy Song (Irene Bedard). She says that a drunken Arnold set off fireworks, accidentally starting the fire that cost Thomas his parents. The road trip by the young men leads to Thomas reconciling with the memory of his adoptive father Arnold, as he understands more of his path to alcoholism and related abuse and abandonment. Victor also gains a better understanding of Thomas and his reverence for Arnold."
1976,The Next Man,American,Richard C. Sarafian,"Sean Connery, Cornelia Sharpe",thriller,https://en.wikipedia.org/wiki/The_Next_Man,"The film is set during the Arab oil embargo of 1973-1974. Khalil Abdul-Muhsen (Connery) is the Saudi Arabian minister of state who proposes to recognize Israel, support Israeli membership in OPEC and sell Saudi oil to needy nations. His plan is to protect third-world nations from the threat of Cold War ideology. Khalil's radical agenda and idealism finds few friends and he is soon the target of multiple assassination attempts by Arab terrorist groups. They send Nicole Scott (Sharpe) to infiltrate Abdul-Muhsen's entourage, seduce him and await further instructions. However, she develops strong feelings for him in reality and the completion of the plan is jeopardized."
1998,Kannedhirey Thondrinal,Tamil,Ravichandran,"Prashanth, Simran",unknown,https://en.wikipedia.org/wiki/Kannedhirey_Thondrinal,"Vasanth (Prashanth), a rich guy meets a girl (Simran) in Coimbatore railway station while travelling to Chennai to join engineering and it is love at first sight for Vasanth. Shankar (Karan) also studies in same college where Vasanth joins and initially both Vasanth and Shankar develop clashes. Priya (Simran) is the sister of Shankar and without knowing that Vasanth meets Priya on a few more situations in Chennai and conveys his love towards her but Priya does not reciprocate and keeps distance with Vasanth. One day, Vasanth saves Shankar’s life from a few thugs and this makes the two get close to each other. Shankar’s mother Srividya does not like any of Shankar’s friends visiting their home and once insults Vasanth when Shankar has invited Vasanth to his home. Later on Srividya gets to know about Vasanth’s good character and apologizes to him and also invites to their home. Now Vasanth comes to know that Priya is Shankar’s sister and feels bad that he is in love with his best friend’s sister. But Vasanth’s friend Gopal (Chinni Jayanth) says that there is no harm in it as Vasanth started loving Priya even before he met Shankar. This makes Vasanth to continue his efforts to woo Priya. Priya after a point starts developing affection towards Vasanth realizing his true love for her and also gets attracted by his character. Meanwhile Shankar gets furious while encountering Vignesh on a few more occasions. One day, Shankar informs Vasanth about a problem that had occurred in Shankar’s family a few years back. Shankar has one more sister (Indhu) and she eloped with his then close friend Vignesh on the day of her marriage which made Shankar’s family to abandon her. This made Srividya to avoid bringing Shankar’s friends to their home as Shankar felt betrayed by his close friend. Now Vasanth feels bad about his love towards Priya and decides not to betray Shankar and his family by disclosing his love towards Priya as he trusts his friendship more than love and starts avoiding Priya. Priya understands that Vasanth keeps distance with her now. Shankar arranges for Priya's wedding but she meets Vasanth and requests him to marry her for which Vasanth refuses as he does not want do the same mistake done by Shankar’s friend before as he values friendship more and decides to leave to Coimbatore. Suddenly Vasanth gets a phone call from Shankar saying that Priya has consumed poison and has been admitted in the hospital. Vasanth rushes to hospital along with his friend Gopal where Gopal tells all the truth to Shankar and his family. Shankar feels proud about Vasanth’s value for friendship and agrees for their marriage."
2016,My Annoying Brother,South_Korean,Kwon Soo-kyung,"Jo Jung-suk, Do Kyung-soo, Park Shin-hye",unknown,https://en.wikipedia.org/wiki/My_Annoying_Brother,"National Judo athlete Doo-young (Do Kyung-soo) damages his optic nerves during an international event and loses his sight permanently. His older brother Doo-shik (Jo Jung-suk) who has been estranged from Doo-young, takes advantage of his brother's sudden crisis to get paroled from prison. To Doo-young who lost his parents in an accident as a teenager and had to fend for himself since then, the news of Doo-sik coming back home is an extra stress to deal with. He's barely adjusting to the fact that he is now blind for the rest of his life but now he has to deal with his swindler brother. Although hesitant at first, Doo-young slowly eases up to his older brother, who gradually takes charge and helps him adjust to his disability. Just when the two brothers are starting to make amends, Doo-sik finds out that he's in the final stage of terminal cancer. He has only a short time to say farewell to his brother and help him win gold at Rio Paralympics, which will secure his future.[1]"
2009,Bandhobi,South_Korean,Unknown,Sin Dong-il,unknown,https://en.wikipedia.org/wiki/Bandhobi,"Karim (Mahbub Alam) is a 27-year-old Bangladeshi working in an industrial laundry. An intellectual whose academic degree was not recognized in South Korea, Karim's work permit is about to expire and he's still owed a year's pay by a previous employer, Shin (Jung Dong-gyu), who's not taking his calls; meanwhile, his wife back home is giving him a hard time about money problems. Seventeen-year-old high schooler Min-seo (Baek Jin-hee) is a social loner at odds with her mother, Eun-joo (Lee Il-hwa), who has a jobless, live-in lover, Ki-hong (Park Hyuk-kwon), whom she's planning to marry. Minseo's friends all take after-school classes at study institutes, but her single mother can't afford to pay for them. She eventually gets an under the table job at a massage parlor in order to pay for English classes. On the first day of summer vacation, Min-seo is riding the bus when Karim drops his wallet. He exits the bus, and Min-seo takes the wallet for herself. However, Karim soon realizes what happens and manages to chase Min-seo down in a side street. ""Let's go to the police station,"" he says in excellent Korean, but Min-seo tries to dissuade Karim from reporting her to the police by offering to grant him a favor, and reluctantly agrees to help track down his former boss. As the unlikely pair pose as loan sharks, they find themselves transforming each other's worlds in unexpected ways. They slowly form a mutual understanding, with the girl asking indiscreet questions and the gentleman preaching about problems in South Korean society. For Min-seo, Karim is initially a convenient badge she can wear in a society she sees herself at war with. But as she lowers her defenses, the relationship touchingly turns into a friendship between two lonely souls. But Karim's visa will not last forever.[6][7]"
